county,,0-4,10-19,20-29,30-39,40-49,5-9,50-59,60-69,70+
61,2020-04-08,0.5957780594691506,3.2735663159610127,4.036997880545954,3.407389934232569,2.166290063759405,0.3153901346920591,2.0178265766751196,1.120722592283613,1.2672680652326136
61,2020-04-09,0.4549559186470091,3.460630311143092,3.051242894790988,3.148866579768253,2.3302331317615312,0.4793332026941677,2.0178265766751196,1.4486087282878088,0.9856237835883377
61,2020-04-10,0.6118823255734149,2.742483592996386,2.947504741052825,2.143461174362855,2.0429744445028177,0.4793332026941677,2.344976453824998,1.4619057915848828,1.0122179101824642
61,2020-04-11,0.6118823255734114,2.4612038970825125,2.525585197182039,1.7215416304920836,1.3397752047182365,0.4793332026941677,2.870270671802146,1.3212659436279637,1.5375121281596122
61,2020-04-12,0.35274570396740756,2.1065711509486817,2.421566686776117,0.55811674270781,0.8627472396287601,0.5008524782363715,1.8328275488971713,0.7021167570025568,1.0299985227186923
61,2020-04-13,0.368230279371776,1.4600598976875006,2.1409258117115257,0.4906120248057704,0.6474995494565547,0.3784479020824527,1.6154683257152556,0.6240543740520366,1.0694138055661853
61,2020-04-14,0.38728303954324517,1.0312886107084154,1.6561228959153595,0.41552763581719887,0.5620227458290117,0.3992327313604207,1.5273934184279767,0.6993993801846727,1.1179117405481094
61,2020-04-15,0.242829465887624,0.605118735379051,1.23219269793546,0.5622208868222884,0.5153646728434325,0.2576554959597992,1.4764208380599086,0.8245200942772613,1.1984492116881569
61,2020-04-16,0.26566584839702756,0.35093183383702353,1.4346060883597431,0.5041555922728946,0.44484316965255744,0.11862484524067796,1.566728350710747,0.5869414709238754,1.2565781853484665
61,2020-04-17,0.1215849066321617,0.3923876532219879,1.077684399694192,0.5637118398400389,0.49739279985885787,0.1326380799623621,1.1467471057976297,0.4808130398635484,0.9754229191795645
61,2020-04-18,0.13739717710567234,0.44341816247739985,1.2178386152548342,0.6370232756717513,0.5620793608868411,0.14988782956982405,0.5433433821906135,0.5433433821906135,0.34973826899625493
61,2020-04-19,0.1404353915001053,0.45322330893216645,1.2447682428418716,0.6511095424095998,0.5745084197731813,0.1532022452728512,0.5553581391140483,0.5553581391140483,0.35747190563664333
61,2020-04-20,0.1362647682448852,0.4397635702448497,1.207801354897839,0.6317730164081041,0.5574467791836071,0.14865247444896568,0.5388652198774935,0.5388652198774935,0.34685577371425325
61,2020-04-21,0.11721200807341248,0.378275116964204,1.0389246170143451,0.5434374919767464,0.4795036693912351,0.1278676451709977,0.4635202137448715,0.4635202137448715,0.29835783873232913
61,2020-04-22,0.09428617006803819,0.30428718521957876,0.835718325603068,0.43714497031544397,0.3857161502783555,0.10285764007422316,0.3728589452690585,0.3728589452690585,0.24000116017319328
61,2020-04-23,0.07144978755863107,0.23058795075741045,0.633304935178785,0.33126719686272565,0.2922945854671184,0.07794522279123228,0.28255143261822013,0.28255143261822013,0.1818721865128765
61,2020-04-24,0.06396044733862283,0.2064178073200793,0.5669221468650676,0.29654389220634414,0.2616563754761785,0.0697750334603171,0.2529344962936477,0.2529344962936335,0.1628084114074042
61,2020-04-25,0.05830634485768016,0.18817047658615138,0.5168062385112364,0.2703294170674013,0.23852595623596073,0.06360692166292026,0.23057509102808638,0.23057509102808638,0.148416150546808
