,taz_id,yesh_id,stat11_id,prc,yesh_stat11_id,cahana_id
2612,449,7900,313,1.591976743721216e-05,79000313,7900313
2614,449,7900,511,5.5307948657208836e-05,79000511,7900511
2621,450,7900,421,0.016756127664459917,79000421,7900421
2623,450,7900,523,0.05422036865324854,79000523,7900523
2619,450,7900,524,0.03886666279361709,79000524,7900524
2624,450,7900,521,0.08242959196316457,79000521,7900521
2620,450,7900,522,0.7912268371349215,79000522,7900522
2628,451,7900,523,0.2526462813542778,79000523,7900523
2610,448,7900,321,0.0003469186216165153,79000321,7900321
2604,448,7900,433,0.33743727774849136,79000433,7900433
2609,448,7900,513,0.004389282716612757,79000513,7900513
2608,448,7900,431,0.000848424322465651,79000431,7900431
2594,446,7900,515,6.216691062289248e-05,79000515,7900515
2595,446,7900,421,0.741633985807582,79000421,7900421
2596,446,7900,422,0.23793097412722544,79000422,7900422
5125,903,7900,415,0.004629264983936244,79000415,7900415
2593,446,7900,423,0.013105147046938402,79000423,7900423
2591,446,7900,521,0.003079881824244628,79000521,7900521
2590,446,7900,522,5.726181349802889e-05,79000522,7900522
2589,446,7900,431,0.003107122675213852,79000431,7900431
2597,447,7900,514,0.0004425755638480408,79000514,7900514
2598,447,7900,515,0.0024301103801557256,79000515,7900515
2599,447,7900,324,0.0008179561497377545,79000324,7900324
2600,447,7900,423,0.0006212978528765289,79000423,7900423
2601,447,7900,433,0.0016528458790043587,79000433,7900433
2605,448,7900,434,0.009420335916547935,79000434,7900434
2607,448,7900,432,0.646998266673339,79000432,7900432
2606,448,7900,514,0.0005594940009355738,79000514,7900514
2602,447,7900,431,0.9876129475102589,79000431,7900431
2553,440,7900,233,0.00024913824865865767,79000233,7900233
2538,439,7900,424,8.713445215742765e-05,79000424,7900424
2537,439,7900,313,0.0029803436457278743,79000313,7900313
2491,431,7900,141,2.558561927733652e-05,79000141,7900141
2486,431,7900,134,0.33524687287784133,79000134,7900134
2499,432,7900,312,0.0002089161245748282,79000312,7900312
2493,432,7900,311,0.0002641684980620724,79000311,7900311
2498,432,7900,145,0.36521720255287443,79000145,7900145
2501,432,7900,115,0.0074595151586256845,79000115,7900115
2496,432,7900,142,0.0003529667233215319,79000142,7900142
2495,432,7900,114,0.004168262761519701,79000114,7900114
2494,432,7900,146,0.2689997572559465,79000146,7900146
2497,432,7900,143,0.004252554310931881,79000143,7900143
2500,432,7900,144,0.34907665661404563,79000144,7900144
2506,433,7900,126,0.0004125905356497196,79000126,7900126
2505,433,7900,125,0.010000061043743735,79000125,7900125
5855,1024,7900,124,0.006676435880240072,79000124,7900124
5856,1025,7900,124,0.0200763762474397,79000124,7900124
2488,431,7900,115,0.0022506922482270807,79000115,7900115
2490,431,7900,224,0.001976260146341371,79000224,7900224
2357,401,7900,127,0.016884297698070167,79000127,7900127
2353,401,7900,128,0.004128539422825686,79000128,7900128
2395,410,7900,129,0.00178603260705171,79000129,7900129
2392,409,7900,124,0.9591287038218254,79000124,7900124
2388,408,7900,124,0.9989745328162539,79000124,7900124
2480,429,7900,131,0.6714893734017788,79000131,7900131
2481,430,7900,134,0.40863214659266345,79000134,7900134
2485,430,7900,133,0.5626913507192431,79000133,7900133
