stat_id,Jewish Orthodox,Jewish Non-Orthodox,Muslim,Christian,Druze,Other,pop_thou
36501,0.333,0.667,0,0,0,0,6.9
36521,0.015,0.985,0,0,0,0,3.6
36601,0.5,0.5,0,0,0,0,2.8
37201,0.027,0.973,0,0,0,0,4.3
37301,0.123,0.877,0,0,0,0,2.1
37302,0.083,0.917,0,0,0,0,3.1
37303,0.094,0.906,0,0,0,0,5.1
37501,0.011,0.989,0,0,0,0,6.3
37601,0.008,0.992,0,0,0,0,5.7
37631,0.061,0.939,0,0,0,0,3.9
37651,0.626,0.374,0,0,0,0,2.9
37701,0.191,0.809,0,0,0,0,2.5
37791,0.438,0.562,0,0,0,0,5.5
37801,0.756,0.244,0,0,0,0,3.3
37802,0.736,0.264,0,0,0,0,5.2
37803,0.844,0.156,0,0,0,0,5.7
37804,0.774,0.226,0,0,0,0,3.5
37805,0.808,0.192,0,0,0,0,3.3
37806,0.924,0.076,0,0,0,0,7
37807,0.983,0.017,0,0,0,0,4.9
37881,0.786,0.214,0,0,0,0,2.4
37961,0.017,0.983,0,0,0,0,2.3
37971,0.314,0.686,0,0,0,0,1
37972,0.964,0.036,0,0,0,0,7.7
37973,0.94,0.06,0,0,0,0,3.1
37974,0.948,0.052,0,0,0,0,10.5
37975,0.832,0.168,0,0,0,0,4.2
37976,0.784,0.216,0,0,0,0,3.5
37977,0.983,0.017,0,0,0,0,6.1
37978,0.981,0.019,0,0,0,0,4.7
40011,0,0,0,0,1,0,5.7
41001,0.004,0.996,0,0,0,0,6.5
42011,0,0,0,0,1,0,9.5
42031,0,0,0,0,1,0,3
45011,0,0,1,0,0,0,2.1
45021,0,0,0,0,1,0,1.7
60001,0,0,1,0,0,0,4.7
60002,0,0,1,0,0,0,2.3
60003,0,0,1,0,0,0,4.7
60004,0,0,1,0,0,0,4.9
60005,0,0,1,0,0,0,5.2
60006,0,0,1,0,0,0,2.3
60007,0,0,1,0,0,0,4
60008,0,0,1,0,0,0,5.5
70123,0.007,0.993,0,0,0,0,3.6
70125,0.023,0.977,0,0,0,0,2.6
70126,0.013,0.987,0,0,0,0,4
70131,0.05,0.95,0,0,0,0,2.3
70132,0.013,0.987,0,0,0,0,2.1
70133,0.016,0.984,0,0,0,0,4.6
70141,0.774,0.226,0,0,0,0,4.7
70142,0.263,0.737,0,0,0,0,3.1
70143,0.357,0.643,0,0,0,0,4.3
70144,0.254,0.746,0,0,0,0,6.7
70211,0.701,0.299,0,0,0,0,10.1
70212,0.896,0.104,0,0,0,0,7.1
70221,0.136,0.864,0,0,0,0,2.8
70223,0.087,0.913,0,0,0,0,3.5
70231,0.023,0.977,0,0,0,0,3.7
70232,0.01,0.99,0,0,0,0,2.9
70234,0.019,0.981,0,0,0,0,4.1
70241,0.009,0.991,0,0,0,0,5.5
70243,0.006,0.994,0,0,0,0,3.2
70244,0.009,0.991,0,0,0,0,2.4
70311,0.029,0.971,0,0,0,0,1
70312,0.009,0.991,0,0,0,0,1.1
70314,0.012,0.988,0,0,0,0,5.2
70315,0.005,0.995,0,0,0,0,3.7
70316,0.015,0.985,0,0,0,0,5.2
70317,0.006,0.994,0,0,0,0,4.4
70322,0.519,0.481,0,0,0,0,4.5
70323,0.053,0.947,0,0,0,0,4.5
70332,0.01,0.99,0,0,0,0,2
70333,0.099,0.901,0,0,0,0,5.1
70342,0.004,0.996,0,0,0,0,4.8
70412,0.005,0.995,0,0,0,0,3.7
70421,0.008,0.992,0,0,0,0,7
70422,0.016,0.984,0,0,0,0,7.7
70423,0.008,0.992,0,0,0,0,4.7
70424,0.007,0.993,0,0,0,0,2.8
